'sample #','V5','V2'
342,964,990
343,966,991
344,967,988
345,967,987
346,965,986
347,963,987
348,966,987
349,965,987
350,969,985
351,969,986
352,963,983
353,965,982
354,964,983
355,967,984
356,968,982
357,966,981
358,963,980
359,964,979
360,963,981
361,966,983
362,965,980
363,966,981
364,963,977
365,962,978
366,962,980
367,966,981
368,966,981
369,964,980
370,965,979
371,963,979
372,964,980
373,965,981
374,966,980
375,966,981
376,965,975
377,964,977
378,967,978
379,968,981
380,967,978
381,969,978
382,963,975
383,965,977
384,966,978
385,967,982
386,968,981
387,967,978
388,964,978
389,963,976
390,963,980
391,966,983
392,966,983
393,968,981
394,967,982
395,967,983
396,969,990
397,970,996
398,972,997
399,972,994
400,973,998
401,973,1011
402,978,1049
403,986,1122
404,993,1182
405,1004,1173
406,1026,1123
407,1072,1088
408,1150,1073
409,1207,1066
410,1201,1052
411,1143,1039
412,1088,1022
413,1064,1002
414,1062,982
415,1066,954
416,1065,921
417,1066,885
418,1063,847
419,1062,803
420,1064,770
421,1069,743
422,1070,718
423,1068,692
424,1065,661
425,1061,621
426,1063,579
427,1060,540
428,1059,510
429,1055,482
430,1047,458
431,1038,437
432,1033,419
433,1024,407
434,1016,399
435,1003,390
436,993,383
437,981,380
438,968,376
439,954,380
440,943,378
441,934,375
442,936,376
443,946,382
444,958,390
445,967,405
446,968,426
447,963,449
448,959,473
449,951,506
450,952,546
451,954,589
452,957,636
453,962,680
454,966,728
455,966,784
456,966,832
457,962,875
458,960,916
459,957,956
460,956,996
461,955,1030
462,953,1062
463,957,1095
464,957,1116
465,957,1134
466,956,1151
467,955,1159
468,958,1173
469,960,1183
470,963,1192
471,964,1201
472,964,1208
473,964,1216
474,966,1226
475,967,1234
476,967,1241
477,968,1246
478,966,1252
479,968,1261
480,967,1270
481,971,1279
482,971,1284
483,970,1288
484,971,1294
485,970,1304
486,971,1311
487,974,1322
488,975,1327
489,975,1334
490,975,1338
491,974,1349
492,974,1357
493,979,1364
494,979,1371
495,978,1376
496,977,1381
497,975,1390
498,981,1396
499,982,1404
500,985,1408
501,984,1409
502,984,1411
503,983,1416
504,985,1417
505,990,1421
506,992,1420
507,991,1416
508,992,1411
509,991,1409
510,995,1407
511,997,1403
512,997,1396
513,997,1386
514,998,1376
515,997,1369
516,999,1359
517,1000,1350
518,1002,1335
519,999,1322
520,999,1308
521,997,1294
522,998,1284
523,999,1271
524,1000,1256
525,999,1237
526,998,1224
527,996,1210
528,997,1199
529,997,1190
530,998,1176
531,997,1162
532,994,1151
533,992,1139
534,992,1132
535,995,1123
536,994,1113
537,993,1104
538,989,1092
539,986,1083
540,987,1080
541,987,1073
542,987,1065
543,986,1058
544,983,1052
545,983,1047
546,983,1046
547,984,1043
548,983,1037
549,982,1033
550,978,1030
551,980,1029
552,979,1027
553,981,1028
554,980,1025
555,980,1020
556,978,1017
557,979,1017
558,980,1016
559,979,1020
560,978,1016
561,978,1015
562,977,1014
563,976,1013
564,979,1015
565,979,1019
566,979,1017
567,980,1016
568,979,1014
569,977,1013
570,979,1017
571,980,1018
572,982,1019
573,981,1017
574,978,1017
575,977,1017
576,979,1018
577,982,1021
578,982,1020
579,980,1021
580,980,1018
581,978,1019
582,979,1023
583,981,1025
584,980,1024
585,981,1022
586,978,1021
587,978,1018
588,980,1019
589,982,1023
590,981,1025
591,981,1020
592,979,1017
593,979,1017
594,979,1018
595,981,1019
596,980,1018
597,977,1016
598,976,1013
599,977,1012
600,976,1014
601,978,1015
602,979,1014
603,978,1010
604,976,1007
605,975,1007
606,975,1007
607,976,1009
608,978,1005
609,976,1002
610,975,999
611,974,1001
612,974,1001
613,975,1001
614,976,998
615,976,995
616,973,994
617,970,995
618,973,994
619,973,997
620,975,993
621,973,991
622,972,989
623,970,988
624,971,989
625,971,991
626,971,990
627,973,986
628,971,987
629,970,985
630,969,986
631,972,987
632,972,988
633,971,984
634,970,981
635,970,981
636,969,983
637,972,982
638,973,981
639,971,981
640,968,978
641,966,981
642,967,981
643,970,982
644,971,983
645,970,980
646,968,978
647,966,977
648,966,981
649,969,981
650,971,979
651,970,978
652,966,977
653,968,977
654,969,977
655,972,978
656,972,980
657,970,976
658,967,976
659,967,975
660,970,975
661,971,978
662,970,978
663,971,976
664,967,974
665,967,975
666,968,977
667,971,979
668,971,977
669,970,975
670,970,972
671,970,972
672,971,977
673,971,976
674,971,976
675,970,973
676,970,973
677,968,975
678,968,975
679,972,978
680,973,978
681,973,977
682,972,973
683,971,977
684,973,979
685,975,983
686,977,983
687,976,987
688,978,999
689,977,1037
690,985,1113
691,994,1191
692,1000,1202
693,1017,1151
694,1058,1094
695,1127,1068
696,1198,1059
697,1198,1048
698,1138,1031
699,1079,1014
700,1055,992
701,1054,964
702,1059,937
703,1060,902
704,1059,866
705,1056,821
706,1056,779
707,1056,748
708,1058,720
709,1057,699
710,1055,667
711,1051,628
712,1047,584
713,1047,544
714,1048,512
715,1046,490
716,1042,470
717,1032,447
718,1024,423
719,1012,406
720,1002,401
721,992,394
722,983,387
723,970,381
724,957,375
725,939,374
726,923,376
727,918,375
728,920,373
729,928,374
730,935,375
731,943,380
732,949,392
733,955,408
734,957,427
735,956,450
736,958,476
737,960,515
738,965,554
739,970,606
740,973,661
741,979,716
742,980,769
743,979,824
744,973,871
745,970,918
746,966,961
747,963,999
748,962,1035
749,959,1074
750,960,1104
751,962,1129
752,966,1146
753,965,1155
754,963,1164
755,961,1174
756,963,1184
757,963,1192
758,964,1200
759,964,1205
760,963,1208
761,961,1216
762,963,1223
763,965,1230
764,965,1233
765,962,1240
766,961,1242
767,961,1251
768,960,1258
769,963,1263
770,964,1267
771,961,1277
772,962,1278
773,961,1289
774,963,1295
775,965,1304
776,966,1310
777,964,1316
778,964,1321
779,965,1329
780,965,1338
781,969,1348
782,972,1352
783,968,1358
784,968,1364
785,970,1372
786,972,1379
787,973,1389
788,975,1395
789,976,1399
790,975,1400
791,975,1406
792,977,1412
793,983,1415
794,982,1418
795,984,1415
796,982,1416
797,983,1415
798,988,1418
799,991,1413
800,993,1411
801,993,1405
802,993,1396
803,993,1390
804,996,1384
805,997,1379
806,1001,1368
807,999,1354
808,999,1342
809,997,1329
810,1000,1318
811,999,1308
812,1002,1292
813,1001,1274
814,998,1261
815,997,1248
816,998,1234
817,1001,1222
818,999,1207
819,1001,1192
820,1000,1178
821,996,1165
822,999,1156
823,998,1146
824,999,1134
825,997,1122
826,995,1112
827,994,1101
828,994,1095
829,995,1089
830,994,1080
831,989,1073
832,988,1064
833,984,1061
834,986,1055
835,986,1053
836,987,1050
837,984,1046
838,982,1040
839,980,1037
840,982,1037
841,982,1035
842,979,1034
843,979,1029
844,978,1026
845,977,1023
846,979,1025
847,979,1026
848,980,1025
849,979,1025
850,975,1023
851,974,1024
852,976,1024
853,977,1025
854,978,1024
855,979,1023
856,976,1020
857,976,1022
858,977,1023
859,976,1024
860,977,1025
861,975,1022
862,973,1022
863,972,1022
864,973,1024
865,975,1024
866,973,1023
867,973,1021
868,973,1022
869,972,1021
870,973,1021
871,976,1023
872,976,1022
873,975,1020
874,971,1019
875,967,1016
876,968,1019
877,969,1021
878,973,1020
879,975,1014
880,974,1011
881,971,1012
882,974,1012
883,974,1013
884,974,1013
885,973,1009
886,969,1004
887,966,1004
888,967,1007
889,966,1006
890,970,1003
891,969,1002
892,968,1000
893,967,999
894,967,1001
895,966,999
896,967,1000
897,964,999
898,965,996
899,964,992
900,966,995
901,966,992
902,969,993
903,967,989
904,962,988
905,963,988
906,962,989
907,963,991
908,964,988
909,963,987
910,963,983
911,961,983
912,964,986
913,965,985
914,965,984
915,965,982
916,962,980
917,958,983
918,963,983
919,964,984
920,966,981
921,966,981
922,964,978
923,962,978
924,963,980
925,964,981
926,965,981
927,964,977
928,963,974
929,961,975
930,964,977
931,963,977
932,964,978
933,966,976
934,963,973
935,961,975
936,963,975
937,963,976
938,965,974
939,965,974
940,963,971
941,963,973
942,965,976
943,963,976
944,965,973
945,965,973
946,961,969
947,962,972
948,961,974
949,964,976
950,965,976
951,963,973
952,962,969
953,960,971
954,962,973
955,964,972
956,967,974
957,968,973
958,967,970
959,966,970
960,966,974
961,970,976
962,970,973
963,968,972
964,965,971
965,963,972
966,966,974
967,966,976
968,967,974
969,967,973
970,967,970
971,965,971
972,965,974
973,968,977
974,970,977
975,970,973
976,969,973
977,970,974
978,974,977
979,976,987
980,978,998
981,979,1039
982,984,1112
983,990,1168
984,1005,1157
985,1035,1106
986,1094,1071
987,1167,1056
988,1200,1043
989,1164,1033
990,1102,1019
991,1065,1003
992,1054,977
993,1054,949
994,1053,918
995,1049,883
996,1046,844
997,1049,805
998,1051,766
999,1052,704
1000,1048,678
1001,1046,651
1002,1042,621
1003,1042,583
1004,1042,538
1005,1040,506
1006,1036,483
1007,1033,466
1008,1031,449
1009,1022,428
1010,1015,410
1011,1004,395
1012,990,390
1013,980,385
1014,971,383
1015,962,376
1016,949,373
1017,932,368
1018,914,369
1019,904,374
1020,904,372
1021,906,375
1022,910,377
1023,919,377
1024,924,385
1025,927,400
1026,928,419
1027,927,444
1028,926,470
1029,928,502
1030,927,543
1031,934,589
1032,940,639
1033,949,687
1034,957,736
1035,960,787
1036,961,837
1037,960,882
1038,960,925
1039,963,964
1040,965,995
1041,964,1025
1042,965,1059
1043,968,1088
1044,970,1115
1045,973,1131
1046,974,1142
1047,978,1151
1048,979,1163
1049,980,1171
1050,982,1178
1051,981,1182
1052,979,1187
1053,977,1190
1054,975,1198
1055,979,1203
1056,982,1209
1057,982,1216
1058,985,1219
1059,984,1226
1060,981,1233
1061,981,1241
1062,980,1247
1063,979,1251
1064,978,1254
1065,978,1255
1066,974,1262
1067,975,1270
1068,974,1275
1069,976,1282
1070,977,1286
1071,977,1290
1072,975,1296
1073,976,1305
1074,975,1311
1075,973,1320
1076,972,1322
1077,969,1324
1078,969,1332
1079,972,1340
1080,973,1349
1081,973,1351
1082,972,1353
1083,971,1357
1084,971,1365
1085,974,1374
1086,976,1379
1087,977,1381
1088,979,1384
1089,978,1386
1090,978,1389
1091,981,1394
1092,982,1397
1093,980,1399
1094,982,1398
1095,981,1394
1096,982,1396
1097,985,1396
1098,989,1397
1099,994,1396
1100,995,1390
1101,993,1383
1102,992,1378
1103,991,1377
1104,995,1371
1105,996,1363
1106,998,1353
1107,999,1342
1108,1003,1332
1109,1004,1323
1110,1007,1315
1111,1009,1301
1112,1008,1289
1113,1003,1273
1114,1004,1265
1115,1005,1253
1116,1005,1243
1117,1007,1232
1118,1006,1216
1119,1004,1201
1120,1001,1193
1121,1004,1182
1122,1006,1174
1123,1006,1162
1124,1005,1147
1125,1001,1135
1126,999,1125
1127,1000,1117
1128,1002,1109
1129,1001,1101
1130,1000,1091
1131,1000,1082
1132,996,1075
1133,996,1072
1134,997,1067
1135,996,1062
1136,992,1055
1137,990,1046
1138,988,1044
1139,989,1042
1140,989,1040
1141,991,1037
1142,988,1030
1143,986,1027
1144,984,1024
1145,984,1023
1146,987,1023
1147,985,1022
1148,988,1018
1149,983,1016
1150,981,1018
1151,981,1017
1152,982,1018
1153,982,1016
1154,980,1014
1155,978,1012
1156,977,1014
1157,978,1016
1158,980,1017
1159,980,1015
1160,979,1015
1161,978,1013
1162,977,1014
1163,978,1014
1164,979,1017
1165,979,1017
1166,977,1014
1167,976,1016
1168,973,1014
1169,976,1015
1170,978,1016
1171,978,1018
1172,977,1011
1173,973,1012
1174,972,1014
1175,974,1016
1176,975,1016
1177,975,1016
1178,975,1013
1179,974,1010
1180,972,1013
1181,972,1013
1182,976,1015
1183,974,1015
1184,972,1011
1185,974,1008
1186,972,1007
1187,973,1010
1188,975,1011
1189,975,1008
1190,972,1006
1191,972,1003
1192,973,1003
1193,972,1005
1194,972,1005
1195,973,1003
1196,971,1001
1197,969,998
1198,968,996
1199,970,999
1200,971,997
1201,972,997
1202,969,995
1203,969,992
1204,967,992
1205,968,993
1206,970,992
1207,969,990
1208,969,991
1209,966,988
1210,964,986
1211,967,985
1212,968,989
1213,968,989
1214,966,983
1215,966,983
1216,964,981
1217,964,982
1218,969,984
1219,967,984
1220,967,980
1221,965,979
1222,963,978
1223,964,982
1224,966,983
1225,967,982
1226,967,976
1227,963,974
1228,963,976
1229,964,978
1230,966,978
1231,964,978
1232,965,974
1233,961,973
1234,961,975
1235,962,975
1236,964,975
1237,964,976
1238,963,971
1239,963,972
1240,960,973
1241,964,974
1242,965,975
1243,965,975
1244,964,973
1245,961,970
1246,960,970
1247,962,969
1248,963,974
1249,966,973
1250,964,972
1251,962,968
1252,961,969
1253,963,972
1254,964,971
1255,964,972
1256,965,970
1257,961,968
1258,961,969
1259,961,970
1260,964,971
1261,965,970
1262,963,967
1263,961,966
1264,961,968
1265,963,970
1266,965,971
1267,964,971
1268,965,967
1269,960,968
1270,960,967
1271,966,971
1272,964,971
1273,965,971
1274,964,971
1275,965,967
1276,964,969
1277,964,971
1278,964,973
1279,964,970
1280,966,968
1281,963,966
1282,964,971
1283,962,970
1284,964,971
1285,967,972
1286,965,969
1287,963,968
1288,962,970
1289,966,971
1290,969,973
1291,970,971
1292,970,972
1293,967,972
1294,968,981
1295,971,991
1296,974,1020
1297,978,1074
1298,983,1150
1299,990,1194
1300,998,1175
1301,1021,1126
1302,1067,1090
1303,1140,1072
1304,1193,1058
1305,1187,1049
1306,1132,1036
1307,1078,1027
1308,1055,1013
1309,1051,992
1310,1052,965
1311,1051,938
1312,1052,909
1313,1052,876
1314,1054,843
1315,1057,805
1316,1056,773
1317,1056,741
1318,1058,714
1319,1058,690
1320,1056,663
1321,1053,630
1322,1049,591
1323,1049,547
1324,1044,512
1325,1044,492
1326,1040,473
1327,1034,455
1328,1028,432
1329,1018,414
1330,1008,399
1331,998,394
1332,992,388
1333,980,382
1334,968,376
1335,956,370
1336,942,371
1337,928,372
1338,918,373
1339,911,371
1340,913,370
1341,919,370
1342,926,375
1343,931,382
1344,935,393
1345,934,407
1346,935,423
1347,935,440
1348,934,468
1349,938,501
1350,942,531
1351,944,567
1352,947,602
1353,950,643
1354,956,690
1355,963,739
1356,968,787
1357,968,830
1358,965,867
1359,960,902
1360,959,944
1361,960,980
1362,960,1013
1363,959,1046
1364,960,1074
1365,958,1101
1366,959,1127
1367,960,1147
1368,965,1162
1369,965,1173
1370,966,1181
1371,966,1189
1372,966,1197
1373,969,1207
1374,969,1216
1375,967,1222
1376,969,1226
1377,971,1230
1378,971,1237
1379,974,1246
1380,974,1253
1381,975,1256
1382,975,1260
1383,974,1261
1384,976,1271
1385,979,1274
1386,978,1281
1387,979,1282
1388,978,1284
1389,979,1286
1390,977,1292
1391,981,1297
1392,984,1302
1393,988,1306
1394,987,1309
1395,988,1315
1396,989,1324
1397,989,1333
1398,989,1341
1399,988,1351
1400,984,1356
1401,980,1361
1402,978,1366
1403,979,1375
1404,977,1380
1405,976,1385
1406,973,1389
1407,974,1389
1408,973,1395
1409,976,1402
1410,978,1405
1411,977,1408
1412,978,1408
1413,976,1405
1414,976,1405
1415,978,1407
1416,981,1406
1417,979,1402
1418,980,1395
1419,982,1388
1420,982,1385
1421,985,1381
1422,985,1373
1423,987,1364
1424,986,1353
1425,986,1343
1426,987,1334
1427,990,1325
1428,991,1318
1429,990,1302
1430,992,1291
1431,990,1274
1432,991,1262
1433,995,1251
1434,994,1241
1435,995,1228
1436,994,1213
1437,993,1198
1438,992,1185
1439,992,1173
1440,994,1165
1441,993,1151
1442,994,1137
1443,991,1125
1444,989,1117
1445,991,1110
1446,991,1101
1447,989,1093
1448,987,1080
1449,983,1073
1450,983,1066
1451,984,1062
1452,985,1058
1453,984,1051
1454,981,1042
1455,981,1039
1456,979,1032
1457,980,1034
1458,982,1031
1459,981,1028
1460,981,1024
1461,976,1018
1462,975,1017
1463,974,1018
1464,976,1019
1465,975,1016
1466,974,1013
1467,972,1011
1468,972,1013
1469,972,1015
1470,974,1015
1471,975,1014
1472,973,1011
1473,974,1009
1474,971,1011
1475,970,1014
1476,975,1015
1477,973,1015
1478,974,1011
1479,971,1009
1480,969,1014
1481,969,1015
1482,971,1016
1483,968,1015
1484,968,1013
1485,967,1009
1486,966,1011
1487,969,1014
1488,970,1013
1489,967,1013
1490,969,1012
1491,966,1010
1492,965,1013
1493,970,1013
1494,969,1013
1495,969,1012
1496,967,1012
1497,966,1007
1498,965,1007
1499,966,1008
1500,966,1009
1501,965,1008
1502,963,1004
1503,963,1002
1504,962,1002
1505,964,1006
1506,966,1006
1507,967,1006
1508,963,997
1509,965,996
1510,962,999
1511,962,999
1512,964,998
1513,963,996
1514,961,995
1515,959,989
1516,960,990
1517,963,993
1518,963,992
1519,960,989
1520,961,987
1521,958,983
1522,959,985
1523,959,985
1524,961,986
1525,963,986
1526,960,983
1527,956,981
1528,958,982
1529,960,982
1530,960,980
1531,960,981
1532,959,980
1533,957,976
1534,957,977
1535,955,976
1536,958,978
1537,960,978
1538,959,975
1539,956,974
1540,955,974
1541,956,976
1542,960,974
1543,961,976
1544,957,975
1545,955,972
1546,957,973
1547,957,973
1548,958,976
1549,957,976
1550,957,972
1551,956,971
1552,956,970
1553,958,973
1554,960,972
1555,958,973
1556,957,972
1557,955,969
1558,954,971
1559,957,971
1560,959,972
1561,960,972
1562,958,967
1563,956,967
1564,955,968
1565,958,969
1566,959,970
1567,959,971
1568,957,967
1569,955,967
1570,956,967
1571,955,968
1572,960,972
1573,961,972
1574,958,968
1575,957,967
1576,956,969
1577,958,970
1578,958,972
1579,959,972
1580,960,973
1581,957,969
1582,958,969
1583,959,972
1584,961,972
1585,961,973
1586,958,972
1587,956,968
1588,958,967
1589,959,971
1590,962,973
1591,963,972
1592,962,972
1593,962,970
1594,959,970
1595,961,970
1596,964,973
1597,964,973
1598,963,972
1599,962,970
1600,962,975
1601,964,978
1602,966,979
1603,968,984
1604,969,991
1605,971,1015
1606,971,1072
1607,978,1147
1608,988,1190
1609,1002,1165
1610,1025,1110
1611,1076,1073
1612,1153,1060
1613,1202,1050
1614,1184,1039
1615,1115,1024
1616,1062,1008
1617,1044,984
1618,1043,963
1619,1048,939
1620,1048,907
1621,1046,872
1622,1045,828
1623,1046,789
1624,1044,754
1625,1048,729
1626,1048,705
1627,1049,679
1628,1043,649
1629,1039,609
1630,1036,572
1631,1037,537
1632,1040,508
1633,1036,482
1634,1030,461
1635,1021,440
1636,1014,425
1637,1008,410
1638,1001,398
1639,990,391
1640,979,384
1641,966,379
1642,954,374
1643,943,376
1644,931,375
1645,915,375
1646,904,371
1647,899,372
1648,906,374
1649,914,377
1650,923,382
1651,929,384
1652,933,391
1653,932,402
1654,933,418
1655,932,444
1656,935,470
1657,936,502
1658,938,536
1659,942,577
1660,946,628
1661,956,681
1662,965,734
1663,965,785
1664,964,831
1665,961,875
1666,953,923
1667,958,967
1668,958,1007
1669,955,1044
1670,953,1077
1671,954,1108
1672,954,1136
1673,958,1156
1674,960,1171
1675,965,1181
1676,963,1188
1677,963,1194
1678,962,1203
1679,962,1213
1680,964,1220
1681,966,1228
1682,968,1232
1683,966,1236
1684,967,1243
1685,967,1251
1686,969,1257
1687,972,1262
1688,970,1269
1689,970,1271
1690,970,1279
1691,973,1287
1692,973,1292
1693,972,1301
1694,972,1304
1695,973,1311
1696,971,1318
1697,972,1327
1698,976,1332
1699,976,1341
1700,976,1348
1701,976,1352
1702,974,1358
1703,976,1368
1704,979,1377
1705,982,1380
1706,980,1385
1707,981,1391
1708,981,1398
1709,984,1407
1710,984,1412
1711,985,1415
1712,984,1419
1713,984,1423
1714,985,1430
1715,987,1432
1716,990,1436
1717,992,1439
1718,994,1436
1719,994,1437
1720,992,1436
1721,995,1438
1722,996,1438
1723,996,1431
1724,996,1425
1725,996,1418
1726,996,1414
1727,997,1410
1728,999,1399
1729,999,1389
1730,1002,1379
1731,1001,1364
1732,999,1356
1733,1006,1346
1734,1008,1331
1735,1008,1318
1736,1008,1303
1737,1006,1286
1738,1005,1268
1739,1007,1253
1740,1008,1238
1741,1009,1220
1742,1008,1203
1743,1006,1187
1744,1007,1171
1745,1007,1160
1746,1008,1151
1747,1006,1134
1748,1004,1122
1749,1002,1109
1750,997,1100
1751,998,1096
1752,999,1092
1753,997,1085
1754,994,1075
1755,989,1068
1756,986,1062
1757,984,1060
1758,984,1056
1759,985,1051
1760,982,1045
1761,978,1040
1762,980,1037
1763,978,1038
1764,980,1039
1765,980,1034
1766,975,1033
1767,970,1028
1768,973,1029
1769,973,1028
1770,974,1030
1771,973,1029
1772,972,1026
1773,973,1023
1774,971,1024
1775,971,1025
1776,974,1027
1777,973,1027
1778,973,1025
1779,970,1027
1780,969,1026
1781,970,1028
1782,971,1028
1783,970,1027
1784,971,1029
1785,969,1023
1786,968,1025
1787,969,1030
1788,970,1030
1789,969,1030
1790,967,1027
1791,965,1023
1792,965,1027
1793,966,1029
1794,969,1027
1795,967,1030
1796,963,1026
1797,964,1024
1798,965,1023
1799,965,1024
1800,966,1026
1801,966,1023
1802,966,1021
1803,963,1018
1804,962,1020
1805,961,1022
1806,965,1021
1807,963,1017
1808,962,1016
1809,961,1013
1810,958,1013
1811,960,1015
1812,960,1015
1813,961,1013
1814,958,1009
1815,955,1008
1816,956,1009
1817,957,1009
1818,959,1010
1819,957,1007
1820,959,1006
1821,958,1004
1822,956,1005
1823,957,1005
1824,960,1004
1825,958,1003
1826,957,1001
1827,957,1000
1828,955,1000
1829,957,1002
1830,958,1001
1831,958,1002
1832,956,998
1833,954,996
1834,956,998
1835,956,1002
1836,958,1001
1837,959,1001
1838,958,997
1839,956,995
1840,956,993
1841,957,997
1842,958,997
1843,958,997
1844,958,996
1845,956,992
1846,954,995
1847,956,996
1848,958,996
1849,958,996
1850,958,994
1851,957,992
1852,956,991
1853,955,995
1854,958,995
1855,957,997
1856,957,993
1857,956,991
1858,957,994
1859,959,994
1860,960,995
1861,960,996
1862,960,991
1863,958,990
1864,960,991
1865,961,994
1866,962,993
1867,960,991
1868,958,991
1869,957,990
1870,957,992
1871,960,994
1872,961,994
1873,958,993
1874,959,991
1875,961,990
1876,962,990
1877,963,992
1878,967,991
1879,965,994
1880,965,992
1881,963,987
1882,960,989
1883,963,988
1884,968,993
1885,969,992
1886,967,989
1887,966,988
1888,964,987
1889,966,992
1890,967,992
1891,968,991
1892,965,988
1893,965,987
1894,965,990
1895,967,990
1896,967,994
1897,968,992
1898,968,993
1899,968,992
1900,969,994
1901,970,1001
1902,972,1018
1903,978,1061
1904,982,1142
1905,992,1193
1906,1007,1178
1907,1043,1127
1908,1108,1091
1909,1186,1077
1910,1211,1063
1911,1171,1049
1912,1101,1035
1913,1061,1019
1914,1052,994
1915,1054,964
1916,1055,930
1917,1053,893
1918,1053,855
1919,1053,814
1920,1054,773
1921,1055,739
1922,1052,707
1923,1050,678
1924,1046,651
1925,1047,622
1926,1046,586
1927,1049,542
1928,1047,506
1929,1044,480
1930,1037,463
1931,1032,449
1932,1028,432
1933,1022,419
1934,1010,406
1935,996,399
1936,985,396
1937,974,395
1938,965,392
1939,951,388
1940,933,386
1941,918,386
1942,908,388
1943,912,388
1944,918,392
